================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=amirror, v=1, w=0.0071583745039594145, v*w=0.0071583745039594145
f=withtattoos, v=1, w=0.0023849873290612096, v*w=0.0023849873290612096
f=tattoos,, v=1, w=0, v*w=0
f=on, v=1, w=-0.006576607159839884, v*w=-0.006576607159839884
f=Atopless, v=1, w=-0.03396677833881518, v*w=-0.03396677833881518
f=toplessman, v=1, w=-0.03396677833881518, v*w=-0.03396677833881518
f=platformin, v=1, w=-0.03544840212521625, v*w=-0.03544840212521625
f=with, v=1, w=-0.03837810488855693, v*w=-0.03837810488855693
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=aplatform, v=1, w=-0.05358895355049558, v*w=-0.05358895355049558
f=,, v=2, w=-0.031041731553333035, v*w=-0.06208346310666607
f=man, v=2, w=-0.03717188463081698, v*w=-0.07434376926163395
f=and, v=1, w=-0.07838795061913068, v*w=-0.07838795061913068
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=topless, v=1, w=-0.10094682571018009, v*w=-0.10094682571018009
f=blackpants, v=1, w=-0.10583118798737863, v*w=-0.10583118798737863
f=standingon, v=1, w=-0.155487786720619, v*w=-0.155487786720619
f=front, v=1, w=-0.17112468492060498, v*w=-0.17112468492060498
f=a, v=3, w=-0.05768615072059646, v*w=-0.1730584521617894
f=tattoos, v=1, w=-0.20297595115847067, v*w=-0.20297595115847067
f=is, v=2, w=-0.10426457744737729, v*w=-0.20852915489475457
================================================================================
P: The woman in the blue skirt is sleeping on a cardboard box under a picture of Mary and baby Jesus .
H: A person sleeping on a cardboard box below a picture of religious icons .
label=1, predicted=0, wrong
f=picture, v=2, w=0.5264889911428662, v*w=1.0529779822857324
f=box, v=2, w=0.2631978360738812, v*w=0.5263956721477624
f=person, v=1, w=0.31373370693429253, v*w=0.31373370693429253
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=Aperson, v=1, w=0.18744842925686842, v*w=0.18744842925686842
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=woman, v=1, w=0.13011455724741094, v*w=0.13011455724741094
f=ona, v=2, w=0.038194294468584127, v*w=0.07638858893716825
f=undera, v=1, w=0.07344350922163004, v*w=0.07344350922163004
f=acardboard, v=2, w=0.03533323647316924, v*w=0.07066647294633847
f=cardboard, v=2, w=0.0348146811878639, v*w=0.0696293623757278
f=baby, v=1, w=0.06370717526953318, v*w=0.06370717526953318
f=cardboardbox, v=2, w=0.02684637754821241, v*w=0.05369275509642482
f=Jesus, v=1, w=0.03115094009392617, v*w=0.03115094009392617
f=andbaby, v=1, w=0.030756776360859654, v*w=0.030756776360859654
f=blue, v=1, w=0.024403217777692394, v*w=0.024403217777692394
f=theblue, v=1, w=0.01107047774861991, v*w=0.01107047774861991
f=skirtis, v=1, w=0.003991138619181128, v*w=0.003991138619181128
f=Mary, v=1, w=0, v*w=0
f=icons, v=1, w=0, v*w=0
f=boxunder, v=1, w=0, v*w=0
f=ofMary, v=1, w=0, v*w=0
f=Maryand, v=1, w=0, v*w=0
f=babyJesus, v=1, w=0, v*w=0
f=Jesus., v=1, w=0, v*w=0
f=personsleeping, v=1, w=0, v*w=0
f=boxbelow, v=1, w=0, v*w=0
f=ofreligious, v=1, w=0, v*w=0
f=religiousicons, v=1, w=0, v*w=0
f=icons., v=1, w=0, v*w=0
f=on, v=2, w=-0.006576607159839884, v*w=-0.013153214319679769
f=under, v=1, w=-0.020287799797437923, v*w=-0.020287799797437923
f=religious, v=1, w=-0.03887898091021623, v*w=-0.03887898091021623
f=belowa, v=1, w=-0.04506496197492172, v*w=-0.04506496197492172
f=inthe, v=1, w=-0.04945189044635606, v*w=-0.04945189044635606
f=blueskirt, v=1, w=-0.061982598136112094, v*w=-0.061982598136112094
f=skirt, v=1, w=-0.07210456718378982, v*w=-0.07210456718378982
f=issleeping, v=1, w=-0.07363092169961892, v*w=-0.07363092169961892
f=Thewoman, v=1, w=-0.07629746647199047, v*w=-0.07629746647199047
f=and, v=1, w=-0.07838795061913068, v*w=-0.07838795061913068
f=of, v=2, w=-0.043646278307833394, v*w=-0.08729255661566679
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=womanin, v=1, w=-0.10592398483778956, v*w=-0.10592398483778956
f=below, v=1, w=-0.14519623083211136, v*w=-0.14519623083211136
f=sleeping, v=2, w=-0.07381456324577625, v*w=-0.1476291264915525
f=a, v=4, w=-0.05768615072059646, v*w=-0.23074460288238585
f=the, v=1, w=-0.2428361245146822, v*w=-0.2428361245146822
f=apicture, v=2, w=-0.13367424044777293, v*w=-0.26734848089554586
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
f=pictureof, v=2, w=-0.22308980072819648, v*w=-0.44617960145639296
f=sleepingon, v=2, w=-0.30923818666243, v*w=-0.61847637332486
================================================================================
P: A man in a red shirt plays his guitar while looking down .
H: A man practicing a song he wrote
label=0, predicted=0, correct
f=down., v=1, w=0.4989530623379363, v*w=0.4989530623379363
f=Aman, v=2, w=0.21805720288299957, v*w=0.43611440576599914
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=down, v=1, w=0.14486874429646657, v*w=0.14486874429646657
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=manpracticing, v=1, w=0.11678886040014909, v*w=0.11678886040014909
f=whilelooking, v=1, w=0.11597005474604578, v*w=0.11597005474604578
f=ina, v=1, w=0.1019014453480294, v*w=0.1019014453480294
f=looking, v=1, w=0.05392839852147063, v*w=0.05392839852147063
f=ared, v=1, w=0.0459154973101374, v*w=0.0459154973101374
f=lookingdown, v=1, w=0.04498988011860626, v*w=0.04498988011860626
f=shirt, v=1, w=0.01170337111641635, v*w=0.01170337111641635
f=manin, v=1, w=0.009941214264901212, v*w=0.009941214264901212
f=playshis, v=1, w=0.006790608653975412, v*w=0.006790608653975412
f=while, v=1, w=0.0043804580481082165, v*w=0.0043804580481082165
f=songhe, v=1, w=0, v*w=0
f=hewrote, v=1, w=0, v*w=0
f=red, v=1, w=-0.0110336160563934, v*w=-0.0110336160563934
f=hisguitar, v=1, w=-0.011574242315602775, v*w=-0.011574242315602775
f=wrote, v=1, w=-0.01898723581434684, v*w=-0.01898723581434684
f=asong, v=1, w=-0.02085118645923498, v*w=-0.02085118645923498
f=redshirt, v=1, w=-0.03464020645437741, v*w=-0.03464020645437741
f=guitarwhile, v=1, w=-0.052173738558388624, v*w=-0.052173738558388624
f=guitar, v=1, w=-0.06789192979580919, v*w=-0.06789192979580919
f=man, v=2, w=-0.03717188463081698, v*w=-0.07434376926163395
f=practicinga, v=1, w=-0.0894708403564522, v*w=-0.0894708403564522
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=shirtplays, v=1, w=-0.1090452832472172, v*w=-0.1090452832472172
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=plays, v=1, w=-0.1576056959821563, v*w=-0.1576056959821563
f=song, v=1, w=-0.2759466728691089, v*w=-0.2759466728691089
f=he, v=1, w=-0.2866833937325822, v*w=-0.2866833937325822
f=his, v=1, w=-0.41268421666638866, v*w=-0.41268421666638866
f=practicing, v=1, w=-0.43399215321069756, v*w=-0.43399215321069756
================================================================================
P: A busy street full of shops and people holding hands and walking .
H: Couples looking for places to shop .
label=0, predicted=0, correct
f=walking., v=1, w=0.480822005666753, v*w=0.480822005666753
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=busy, v=1, w=0.1845659361611039, v*w=0.1845659361611039
f=people, v=1, w=0.14760555189771213, v*w=0.14760555189771213
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=andwalking, v=1, w=0.12648583632131002, v*w=0.12648583632131002
f=peopleholding, v=1, w=0.06873237432704278, v*w=0.06873237432704278
f=shops, v=1, w=0.06579380843246128, v*w=0.06579380843246128
f=holding, v=1, w=0.06129207345944638, v*w=0.06129207345944638
f=looking, v=1, w=0.05392839852147063, v*w=0.05392839852147063
f=hands, v=1, w=0.01597492718683556, v*w=0.01597492718683556
f=Abusy, v=1, w=0, v*w=0
f=ofshops, v=1, w=0, v*w=0
f=shopsand, v=1, w=0, v*w=0
f=Coupleslooking, v=1, w=0, v*w=0
f=forplaces, v=1, w=0, v*w=0
f=placesto, v=1, w=0, v*w=0
f=toshop, v=1, w=0, v*w=0
f=street, v=1, w=-0.0035483028318261224, v*w=-0.0035483028318261224
f=busystreet, v=1, w=-0.019750281700318336, v*w=-0.019750281700318336
f=andpeople, v=1, w=-0.0234576568250932, v*w=-0.0234576568250932
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=streetfull, v=1, w=-0.04484143391463787, v*w=-0.04484143391463787
f=Couples, v=1, w=-0.04901385875840998, v*w=-0.04901385875840998
f=walking, v=1, w=-0.07164629725212439, v*w=-0.07164629725212439
f=full, v=1, w=-0.09106148457839768, v*w=-0.09106148457839768
f=places, v=1, w=-0.09230331920980715, v*w=-0.09230331920980715
f=handsand, v=1, w=-0.12830720615574068, v*w=-0.12830720615574068
f=and, v=2, w=-0.07838795061913068, v*w=-0.15677590123826135
f=fullof, v=1, w=-0.17345524238075188, v*w=-0.17345524238075188
f=shop., v=1, w=-0.1832071233173288, v*w=-0.1832071233173288
f=shop, v=1, w=-0.19591359171730036, v*w=-0.19591359171730036
f=holdinghands, v=1, w=-0.3133354102730376, v*w=-0.3133354102730376
f=lookingfor, v=1, w=-0.4805472462090094, v*w=-0.4805472462090094
f=to, v=1, w=-0.48295348356315804, v*w=-0.48295348356315804
f=for, v=1, w=-0.743610523010233, v*w=-0.743610523010233
================================================================================
P: A cabin shot of a very crowded airplane
H: The airplane is quite crowded .
label=1, predicted=1, correct
f=airplane, v=2, w=0.27730109275682346, v*w=0.5546021855136469
f=crowded, v=2, w=0.12230233984207925, v*w=0.2446046796841585
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=ofa, v=1, w=0.06322462541038039, v*w=0.06322462541038039
f=Theairplane, v=1, w=0.049284503421366255, v*w=0.049284503421366255
f=shot, v=1, w=0.046127086512706056, v*w=0.046127086512706056
f=airplaneis, v=1, w=0.03402212752140265, v*w=0.03402212752140265
f=crowded., v=1, w=0.0017143317696163948, v*w=0.0017143317696163948
f=Acabin, v=1, w=0, v*w=0
f=cabinshot, v=1, w=0, v*w=0
f=verycrowded, v=1, w=0, v*w=0
f=crowdedairplane, v=1, w=0, v*w=0
f=quitecrowded, v=1, w=0, v*w=0
f=avery, v=1, w=-0.009356661620950588, v*w=-0.009356661620950588
f=shotof, v=1, w=-0.03643660578713774, v*w=-0.03643660578713774
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=quite, v=1, w=-0.046473429144648, v*w=-0.046473429144648
f=isquite, v=1, w=-0.046473429144648, v*w=-0.046473429144648
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=cabin, v=1, w=-0.10482306287627513, v*w=-0.10482306287627513
f=very, v=1, w=-0.28971659596226007, v*w=-0.28971659596226007
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
================================================================================
P: A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by .
H: A bicyclist passes an esthetically beautiful building on a sunny day
label=1, predicted=0, wrong
f=beautiful, v=2, w=0.27065331391816927, v*w=0.5413066278363385
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=sunnyday, v=1, w=0.1073331246574031, v*w=0.1073331246574031
f=abike, v=1, w=0.10311335705998806, v*w=0.10311335705998806
f=by, v=1, w=0.09557419462959665, v*w=0.09557419462959665
f=passesby, v=1, w=0.09072056046646368, v*w=0.09072056046646368
f=stands, v=1, w=0.087651444483062, v*w=0.087651444483062
f=ona, v=2, w=0.038194294468584127, v*w=0.07638858893716825
f=thesunlight, v=1, w=0.043340201837157095, v*w=0.043340201837157095
f=Abuilding, v=1, w=0.02333930593113677, v*w=0.02333930593113677
f=bike, v=1, w=0.006304639426452001, v*w=0.006304639426452001
f=portrays, v=1, w=0, v*w=0
f=esthetically, v=1, w=0, v*w=0
f=buildingthat, v=1, w=0, v*w=0
f=thatportrays, v=1, w=0, v*w=0
f=portraysbeautiful, v=1, w=0, v*w=0
f=beautifularchitecture, v=1, w=0, v*w=0
f=architecturestands, v=1, w=0, v*w=0
f=sunlightas, v=1, w=0, v*w=0
f=assomebody, v=1, w=0, v*w=0
f=somebodyon, v=1, w=0, v*w=0
f=bikepasses, v=1, w=0, v*w=0
f=bicyclistpasses, v=1, w=0, v*w=0
f=passesan, v=1, w=0, v*w=0
f=anesthetically, v=1, w=0, v*w=0
f=estheticallybeautiful, v=1, w=0, v*w=0
f=beautifulbuilding, v=1, w=0, v*w=0
f=on, v=2, w=-0.006576607159839884, v*w=-0.013153214319679769
f=architecture, v=1, w=-0.023018844470098478, v*w=-0.023018844470098478
f=as, v=1, w=-0.02545669387318382, v*w=-0.02545669387318382
f=buildingon, v=1, w=-0.030438736752867727, v*w=-0.030438736752867727
f=inthe, v=1, w=-0.04945189044635606, v*w=-0.04945189044635606
f=sunlight, v=1, w=-0.05000127180264405, v*w=-0.05000127180264405
f=an, v=1, w=-0.06087247582272282, v*w=-0.06087247582272282
f=somebody, v=1, w=-0.06448010982627116, v*w=-0.06448010982627116
f=bicyclist, v=1, w=-0.07672682200944062, v*w=-0.07672682200944062
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=Abicyclist, v=1, w=-0.10621064434022906, v*w=-0.10621064434022906
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=asunny, v=1, w=-0.12235516862551812, v*w=-0.12235516862551812
f=by., v=1, w=-0.1256715217438273, v*w=-0.1256715217438273
f=sunny, v=1, w=-0.14664677246751792, v*w=-0.14664677246751792
f=the, v=1, w=-0.2428361245146822, v*w=-0.2428361245146822
f=standsin, v=1, w=-0.24581949124395588, v*w=-0.24581949124395588
f=passes, v=2, w=-0.1511592992812269, v*w=-0.3023185985624538
f=that, v=1, w=-0.311006858791322, v*w=-0.311006858791322
f=day, v=1, w=-0.3423643961704252, v*w=-0.3423643961704252
f=building, v=2, w=-0.2595338545029798, v*w=-0.5190677090059596
================================================================================
P: A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling .
H: A woman with red-hair and wearing a black tank top screams at her son who is crossing the road without looking both ways .
label=0, predicted=0, correct
f=wearinga, v=2, w=0.1767549459194831, v*w=0.3535098918389662
f=black, v=2, w=0.17527735647504145, v*w=0.3505547129500829
f=top, v=2, w=0.15676585507596205, v*w=0.3135317101519241
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=theroad, v=1, w=0.2613803916257409, v*w=0.2613803916257409
f=woman, v=2, w=0.13011455724741094, v*w=0.2602291144948219
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=ather, v=1, w=0.24012395778508697, v*w=0.24012395778508697
f=short, v=1, w=0.16029069356219927, v*w=0.16029069356219927
f=be, v=1, w=0.15625359215735654, v*w=0.15625359215735654
f=crossingthe, v=1, w=0.14314660211813832, v*w=0.14314660211813832
f=Awoman, v=2, w=0.06766768141032133, v*w=0.13533536282064265
f=blacktank, v=2, w=0.06436090979346064, v*w=0.12872181958692128
f=red-hair, v=2, w=0.053524792883710454, v*w=0.10704958576742091
f=appears, v=1, w=0.09949515326234103, v*w=0.09949515326234103
f=appearsto, v=1, w=0.09484309735582895, v*w=0.09484309735582895
f=red-hairand, v=2, w=0.04062197368175086, v*w=0.08124394736350173
f=topand, v=1, w=0.07725940725039117, v*w=0.07725940725039117
f=tobe, v=1, w=0.07682083814219413, v*w=0.07682083814219413
f=yelling, v=1, w=0.07040211347130212, v*w=0.07040211347130212
f=crossing, v=1, w=0.0598295306792859, v*w=0.0598295306792859
f=jeans, v=1, w=0.05965396923990418, v*w=0.05965396923990418
f=looking, v=1, w=0.05392839852147063, v*w=0.05392839852147063
f=withred-hair, v=2, w=0.025331288424111024, v*w=0.05066257684822205
f=iscrossing, v=1, w=0.02911881108126585, v*w=0.02911881108126585
f=yelling., v=1, w=0.015615067122658362, v*w=0.015615067122658362
f=andshort, v=1, w=0.006355181173572443, v*w=0.006355181173572443
f=ways, v=1, w=0, v*w=0
f=shortjeans, v=1, w=0, v*w=0
f=jeansshorts, v=1, w=0, v*w=0
f=shortsappears, v=1, w=0, v*w=0
f=beyelling, v=1, w=0, v*w=0
f=topscreams, v=1, w=0, v*w=0
f=screamsat, v=1, w=0, v*w=0
f=sonwho, v=1, w=0, v*w=0
f=roadwithout, v=1, w=0, v*w=0
f=withoutlooking, v=1, w=0, v*w=0
f=lookingboth, v=1, w=0, v*w=0
f=bothways, v=1, w=0, v*w=0
f=ways., v=1, w=0, v*w=0
f=whois, v=1, w=-0.02082910549721368, v*w=-0.02082910549721368
f=at, v=1, w=-0.023579113361532747, v*w=-0.023579113361532747
f=road, v=1, w=-0.03277612030871606, v*w=-0.03277612030871606
f=who, v=1, w=-0.04355991180141591, v*w=-0.04355991180141591
f=screams, v=1, w=-0.05412233406957866, v*w=-0.05412233406957866
f=both, v=1, w=-0.057565895778600516, v*w=-0.057565895778600516
f=with, v=2, w=-0.03837810488855693, v*w=-0.07675620977711387
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=herson, v=1, w=-0.13516006264999458, v*w=-0.13516006264999458
f=wearing, v=2, w=-0.08591864844088887, v*w=-0.17183729688177773
f=without, v=1, w=-0.17694504361830596, v*w=-0.17694504361830596
f=tanktop, v=2, w=-0.09663961308851404, v*w=-0.19327922617702809
f=andwearing, v=2, w=-0.10332457197289863, v*w=-0.20664914394579725
f=and, v=3, w=-0.07838795061913068, v*w=-0.23516385185739203
f=the, v=1, w=-0.2428361245146822, v*w=-0.2428361245146822
f=womanwith, v=2, w=-0.12266457094205131, v*w=-0.24532914188410263
f=her, v=1, w=-0.24551471204742525, v*w=-0.24551471204742525
f=shorts, v=1, w=-0.24982847148174056, v*w=-0.24982847148174056
f=tank, v=2, w=-0.1382922062474849, v*w=-0.2765844124949698
f=son, v=1, w=-0.30886787226499324, v*w=-0.30886787226499324
f=ablack, v=2, w=-0.1592951330820057, v*w=-0.3185902661640114
f=to, v=1, w=-0.48295348356315804, v*w=-0.48295348356315804
================================================================================
P: Two men sitting on a subway are reading , with coats and scarves on , but have seemed to have lost their pants .
H: There are people on the subway .
label=1, predicted=1, correct
f=There, v=1, w=0.8977748510992865, v*w=0.8977748510992865
f=Thereare, v=1, w=0.44247403698181864, v*w=0.44247403698181864
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=asubway, v=1, w=0.21496552327428675, v*w=0.21496552327428675
f=arepeople, v=1, w=0.18680790023158994, v*w=0.18680790023158994
f=scarves, v=1, w=0.15923549959598202, v*w=0.15923549959598202
f=people, v=1, w=0.14760555189771213, v*w=0.14760555189771213
f=sitting, v=1, w=0.1432999207861682, v*w=0.1432999207861682
f=onthe, v=1, w=0.14116085808089524, v*w=0.14116085808089524
f=arereading, v=1, w=0.1401331228285336, v*w=0.1401331228285336
f=Twomen, v=1, w=0.11605679931898484, v*w=0.11605679931898484
f=pants, v=1, w=0.1142200031080719, v*w=0.1142200031080719
f=coats, v=1, w=0.09462496479768284, v*w=0.09462496479768284
f=have, v=2, w=0.045517977139266745, v*w=0.09103595427853349
f=coatsand, v=1, w=0.0783596792668626, v*w=0.0783596792668626
f=reading,, v=1, w=0.06979830947373183, v*w=0.06979830947373183
f=Two, v=1, w=0.06669680516475003, v*w=0.06669680516475003
f=tohave, v=1, w=0.06650662361674084, v*w=0.06650662361674084
f=on,, v=1, w=0.05858693452684109, v*w=0.05858693452684109
f=pants., v=1, w=0.052314752699748605, v*w=0.052314752699748605
f=ona, v=1, w=0.038194294468584127, v*w=0.038194294468584127
f=andscarves, v=1, w=0.0351085479628465, v*w=0.0351085479628465
f=subway., v=1, w=0.009068904323139303, v*w=0.009068904323139303
f=scarveson, v=1, w=0.0020048055240356687, v*w=0.0020048055240356687
f=withcoats, v=1, w=0, v*w=0
f=buthave, v=1, w=0, v*w=0
f=haveseemed, v=1, w=0, v*w=0
f=seemedto, v=1, w=0, v*w=0
f=havelost, v=1, w=0, v*w=0
f=losttheir, v=1, w=0, v*w=0
f=theirpants, v=1, w=0, v*w=0
f=,but, v=1, w=-0.015968185751753884, v*w=-0.015968185751753884
f=peopleon, v=1, w=-0.017341279176076196, v*w=-0.017341279176076196
f=on, v=3, w=-0.006576607159839884, v*w=-0.019729821479519655
f=subway, v=2, w=-0.01600520895463453, v*w=-0.03201041790926906
f=with, v=1, w=-0.03837810488855693, v*w=-0.03837810488855693
f=mensitting, v=1, w=-0.04227717964002655, v*w=-0.04227717964002655
f=seemed, v=1, w=-0.0436778139526062, v*w=-0.0436778139526062
f=subwayare, v=1, w=-0.0520678399607737, v*w=-0.0520678399607737
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=,, v=2, w=-0.031041731553333035, v*w=-0.06208346310666607
f=,with, v=1, w=-0.06813489547484602, v*w=-0.06813489547484602
f=and, v=1, w=-0.07838795061913068, v*w=-0.07838795061913068
f=but, v=1, w=-0.07895836241422201, v*w=-0.07895836241422201
f=men, v=1, w=-0.08858767269030798, v*w=-0.08858767269030798
f=reading, v=1, w=-0.1160870282372113, v*w=-0.1160870282372113
f=their, v=1, w=-0.16579930423755876, v*w=-0.16579930423755876
f=lost, v=1, w=-0.22570105369785814, v*w=-0.22570105369785814
f=the, v=1, w=-0.2428361245146822, v*w=-0.2428361245146822
f=thesubway, v=1, w=-0.252031260345686, v*w=-0.252031260345686
f=sittingon, v=1, w=-0.2700772882251269, v*w=-0.2700772882251269
f=to, v=1, w=-0.48295348356315804, v*w=-0.48295348356315804
f=are, v=2, w=-0.29381510678573053, v*w=-0.5876302135714611
================================================================================
P: Two Asian women wear sandals , long silk robes and hold umbrellas .
H: Women in Japan take shelter from the rain
label=0, predicted=0, correct
f=Women, v=1, w=0.30812945398917974, v*w=0.30812945398917974
f=umbrellas, v=1, w=0.2551259648172725, v*w=0.2551259648172725
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=wear, v=1, w=0.11231801018112905, v*w=0.11231801018112905
f=Two, v=1, w=0.06669680516475003, v*w=0.06669680516475003
f=Womenin, v=1, w=0.05016471968670039, v*w=0.05016471968670039
